My occupation:,The most evil thing I've done:,Why we should get together:,Fun fact:,YouTube Link
Arts + Entertainment,"Stole over $25,000 worth of hardware from my last employer after putting in my two weeks which crippled our back end engineering org ",it'd be so fun to sit on the computer and also go outside together also I can cook and clean,cute on a leash,https://www.youtube.com/watch?v=lrpXArn3hII
Legal,Toppled a local government,The world gets nastier by the day. The only thing that can combat that is coming together with those that support us and also we'd be v hot and sexy,I'm not active on socials yet in a social setting as very active. Mysterious yet quickly written off. I can commune with anyone and have an open mind,https://www.youtube.com/watch?v=U2WDdccgaDY
Health Reporting,overseas corporate espionage on a crotch rocket,My years of experience building Japanese model kits has trained my fingers in navigating tight spaces,I grew up on a cattle farm (still have the hat!) and I used to review VR adult video,https://www.youtube.com/watch?v=G9__lmkXbZ8
Arts + Entertainment,"- ok first of all I feel like I should be able to defend some of my choices in the above spreadsheet and does that make me evil?? because I like using my WORDS? and I want to say I'm between gigs but I waNT to go to the gym? and basement? I wanna be a cool kid too but I'm new here and I'm scared 
- I have a potentially slightly evil cat (he would be great if we were to be evil together as a good mascot 
- I hooked up with a coworker ,  i do not recommend this the vibes are bad
- i really want to leave meta but I don't think I can
- honestly I haven't signed up for blue sky yet","real talk is that I'm probably not evil enough for u but I think ur cool and i'm trying to be more evil and I think I could be inspired by you
also I love google forms and honestly kinda just wanted to fill it out","i have been a fisherman commercially 

i want to bring this vibe into this year and this has been on repeat in my brain for a week
https://www.instagram.com/p/DF4VzptAW_y",https://www.youtube.com/watch?v=7IxdQUpQjqc
Arts + Entertainment,I will not perjure myself in writing but you can ask in person,because I want to cast spells,the hottest scene in any move ever is Eli Roth in Inglorious Basterds killing the nazi with a bat,https://www.youtube.com/watch?v=w5tGsqWqb8s
Crypto,working with crypto communists in africa to dump on their local currencies,"I'm very mutlidisciplinary (art/code/writing/singing) , got into crypto to tear down capitalism, I can match your adhd/mania/creativity,   very domesticated (cook/clean/mental labor) , only date seriously , big feminist (invited to parliment to discuss sex harm legal reform I spearheaded), undefeated hackathon winner (4:0; ethdenver win gaskiller.xyz) , gender abolitionist (but very straight presenting) ","if you don't like cuddling it's not going to work out because i'm a grade A superb cuddler :( 
I'm really loving , supportive , and emotionally intelligent and will refer to you (affectionality) by demeaning terms a lot.   

yea just in general if you decide to go with a different gay evil bf i'd still like to be friends and introduce you to some other crypto leftists (nyc/euro) sometime!  

",https://www.youtube.com/watch?v=PBvwcH4XX6U
AI,Made someone break up,Mildy uncertainty follows. We potentially have compatible and contrasting personalities with overlapping interests in activities and culture.,"Currently trying to make a reagent free drug testing system using laser scattering, hopefully  under $1K. ",https://www.youtube.com/watch?v=aX8-zPSZBVk
Arts + Entertainment,I killed a man in 2013,We shouldn't.,I'm extremely racist and homophobic.,https://www.youtube.com/watch?v=T4HDCn-sacA
Crypto,best not written,Y not!,ummmmm,https://www.youtube.com/watch?v=-7NlpY1gIBI
Tech but not the cool current thing,Hmm probably making lots of money off subscriptions in my apps that really shouldnâ€™t be subscriptions in the first place LOL,I like you and also I really need 4o image generation access ğŸ¥º,I am capable of being fruity with it but you have to extract it out of me. Donâ€™t fear itâ€™s been done before,https://www.youtube.com/watch?v=uVIDsEWkKuo
Arts + Entertainment,I had to sign a NDA for it,Unlimited power and ghoulfoolery,Iâ€™m 15 and the only adult I admire is johnny rotten,https://www.youtube.com/watch?v=pT68FS3YbQ4
Switching from IT to AI (hence no job yet),Various criminal acts iâ€™m not going to discuss via Google Forms. DM me.,"You Are: The only person ive ever encountered online or otherwise that seems to share a similar sense of humor, incredibly wide range of taste in music and weird interests that donâ€™t usually go together.","I am: Turnt up white boy with a beard (5â€™11) who immediately recognized the Evangelion title card and who in the past year went to live shows for Justice, Idles, and King Gizzard & The Lizard Wizard (among others) who is still getting better at not burning the hell out of myself while attempting to solder things for various microcontroller projects and who would love to get to know you better

(But would also like to warn you my Twitter account was only ever meant for shitposting so may not be the best reflection of what Iâ€™m really like and does not include any pics of what I look like so youâ€™ll have to DM for that)",https://www.youtube.com/watch?v=mHTO2Xu3dlg
AI,When I was in middle school I was sort of friends with this guy on my bus but he would kind of rub me the wrong way. One day we were on a field trip and he got hella snacks from this area and I was like â€œMichael please give me a dollar so I can get a pretzel or Iâ€™m never talking to you againâ€. And so he said no and I never talked to him again,Because I think Iâ€™m chill and you look funny and cool and I like meeting new friends and maybe more,When I was 7 I made a hamachi minecraft server. Also I rly like a range of music and I play the guitar a lot. I also live close to nyc,https://www.youtube.com/watch?v=kqyWSFmBFUg
Crypto,threatened to sue people and blackmailed them,we belong to each other you just dont know it yet,i love you and i would die for you,https://www.youtube.com/watch?v=9eIXBpR8gKA
Arts + Entertainment,Fuck the system.,It will be interesting and evil in a good way.,"Half Mexican-Half American with French, Spanish and Polish roots. ",https://www.youtube.com/watch?v=fFYMsGj3ZhI
"ai + crypto  â€” raising for my next startup now! for the next question: more pilates, less gym :)","have you ever broken up multiple relationships from the comfort of your living room? dont worry, they were all shitty BFs >:)",my last girlfriend was named Kat so this would make for a really great story â€” let me have this !!,i dont know the rules for when to properly use em dashes but like garlic & onions â€” i throw them on everythinggg,https://www.youtube.com/watch?v=BXWgeeWir7c
Crypto,"The majority of people cannot be reached with reality-based information, and must instead be appealed to with emotional material.  ","In the moment when I truly understand my enemy, understand her well enough to defeat her, then in that very moment I also love her.",https://x.com/BigSky_7/status/1900680256870379980,https://www.youtube.com/watch?v=bn_p95HbHoQ
tech,Fill out this form and waste your time,i sometimes make people laugh,im not actually a pawg,https://www.youtube.com/watch?v=iq_d8VSM0nw
Crypto,become famous,mawwiage ğŸ¦â€ğŸ”¥ğŸ’œ,"watch Overcompensating on Amazon Prime Video, streaming May 15",https://www.youtube.com/watch?v=Y99UqvgCmE8
AI,feed baby birds to my dog when I was like 7 or 8 (it was an accident ğŸ¤·â€â™‚ï¸),"If we donâ€™t, Iâ€™ll continue being evil ğŸ˜«","Iâ€™m a neurodivergent half-sicilian ğŸ¤¢ but make up for it with my modest looks and big brain. Passionate for all things XR, AI, esoteric knowledge with rare aura, bit of an artist and like to make silly jams with my guitar and midi keyboard.",https://www.youtube.com/watch?v=-UGbOqadHb0
Arts + Entertainment,"I built and constructed a horrendously ugly sculpture. I should be drawn and quartered for my crime, but anything for the bag",to take over the tri-state area (Dr doofenshmirtz voice),I like taking too many of my sedatives and sitting upside down,https://www.youtube.com/watch?v=tyVSeGFR4eQ
Crypto,betrayed my child self by choosing paths I thought necessary that only stunted my spiritual growth,idk if we should bit you're fascinating and the right kind of insane and I'd like to at least be collaborators,"I'm smarter more neurotic more stressy/depressy than anyone you know. I'm going to live past 500 and I'm talking my wives (multiple) with me. also, milady.",https://www.youtube.com/watch?v=GxbvGun6teI
Arts + Entertainment,I have a life insurance policy on an ex. I never see them or look them up but one day Iâ€™ll simply capitalize off of their demise.,I think I need the partner with someone nefarious to truly accomplish my goal of world domination.,I want you to know that every third thing I say is made but you have to determine if the first thing Iâ€™ve ever told you is the third made up thing I said or one of the truths.,https://www.youtube.com/watch?v=e_aT9pAGQo8
"Tech startup, payments",I grew a pretty evil mustache once,"I donâ€™t. I only know you parasocially, and I donâ€™t think you know me at all. But you have really good taste, and I really like the work you create, so I think it would be interesting to get to know you. ","I probably seem like a tech bro on the surface, but thereâ€™s a more creative/intellectual side to me that doesnâ€™t really come through on social media. ",https://www.youtube.com/watch?v=EV4J_UrUTnI
hating gay people,love my boyfriend,im homophobic,meow,https://www.youtube.com/watch?v=njPg1BO7h6A
AI,Once I brought smelly fish to a final exam to try and distract other people so the curve would help me,I can spoil you queen and also I can pole dance I'm half stripper half sugar mommy,One of the side effects of medication I'm on is like 0 sex drive lmao,https://www.youtube.com/watch?v=vHToIiNBMdI
Finance,About to personally join a private placement for a company in the military industrial complex :),Need to increase evilness as a hedge against the recession,Diagnosed ADHD and probably a lil autistic too. Lives in NYC but visits parents in LA often,https://www.youtube.com/watch?v=jcNqQ9RInfA
AI,"I used to care what people thought, I think that weakness is an evil, that wreaks havoc on the world.","First saw your art and loved it. Then saw a lot of your posts and found you captivating. 

We seem to share a love for dressing up. (Tho you wonâ€™t see much of mine on public channels)

 Youâ€™re, at least given the impression I have, wild, confident, a heterodox thinker, active, independent, and curious. All very desirable traits to me.

Iâ€™m looking for someone I can party with, disagree with, learn from, and who has their own shit going on. 

Also youâ€™re super fucking hot, and kinda scary.","I live in London, but a move to New York is on the cards. I should be back there quite soon.

But I think you would love the queer kink party scene here. It seems a lot more developed than any other city Iâ€™ve been to. 

About me: 

I want to live a very long time, if I donâ€™t at least  see Jupiter with my own eyes, then something has gone very wrong. 


And I thrive off finding out new ideas. If I get stuck at a party where I can predict what everyone is going to say, then Iâ€™m probably going to have to leave.",https://www.youtube.com/watch?v=r7qovpFAGrQ
Arts + Entertainment,For the last 2-3 years Iâ€™ve exclusively acquired groceriesâ€¦ mysteriously (in Minecraft),Maximized cunt,Iâ€™m in desperate need of intellectual validation,https://www.youtube.com/watch?v=UJ6pLKlU-8Q
Tech,Hooked up with someone married,I desire more from my existence and would like a partner to do it with,I want to find someone to peg me,https://www.youtube.com/watch?v=hN2jOHeI5tc
Crypto,Pretended I got kidnap in Colombia for attention from my ex,We can financially Dom the Bushwick boys who pretend to be poor,I donâ€™t have a gag reflex,https://www.youtube.com/watch?v=-FyjEnoIgTM
Arts + Entertainment,ate childs snack where i am baby sitting,cause im that bitch,iâ€™m a GOD,https://www.youtube.com/watch?v=2lpCKuRIDoM
Finance,Broke someones heart,"Could be fun, could be a vibe","Iâ€™m a Canadian citizen, we can leave America whenever ",https://www.youtube.com/watch?v=LcUeQk73LvI
retail,Having sex in the basement ;),To Live free,My legs could reach my neck,https://www.youtube.com/watch?v=Z83vxHbEKwU
"AI, but tech sales for an Ireland based AI startup ",I steal Rx bars from work like every day,"I appreciate your confidence and how forward you are, I look for that in a partner. I also prefer to date other queer people because straight women are generally put off by me being bisexual. Iâ€™d love to cook dinner for you, acts of service is definitely one of my love languages. Itâ€™s cool that youâ€™re creative and also work in AI. 

Dating apps are becoming exhausting, and Iâ€™d rather meet someone in an interesting way like this. Iâ€™m guessing you feel similarly given that Iâ€™m writing this in a Google form after scanning a QR code on the street","My favorite hobbies are cooking and thrifting, so itâ€™s fitting that I saw your poster while I was walking to buy a lecruset pan off of facebook marketplace. Iâ€™ve also only lived in NYC for about 6 months, I moved here from NJ where I grew up. 

In the spirit of transparency, hereâ€™s my red flags: I live in Murray hill, Iâ€™m a Philadelphia sports fan, and people are usually surprised to find out that Iâ€™m not straight, I wasnâ€™t in a frat in college, and Iâ€™m not conservative based on my appearance",https://www.youtube.com/watch?v=OTIor_sLgj0
Arts + Entertainment,Lie to you on this questionnaire,we should keep separate at all times,i play and coach super smash brothers (evil) and iâ€™m a bi (gay),https://www.youtube.com/watch?v=NzGBWT8aVV8
public health,stole candy from a child,i feel like you could edge out my evil,"does the kit, kat?",https://www.youtube.com/watch?v=Cj5rLMVbSNE
sustainable transportation and fracking,Lie to you on this form but i wont tell you where hehehe,I got dat crazy frakking money and im so evil and malicious and hot btw check my instagram and im suuuupa gay (whore),i fucked a ceiling light on poppers (whore) take me out on gay evil date and ill tell u the story its awesome *slut*,https://www.youtube.com/watch?v=MV_3Dpw-BRY
Arts + Entertainment,Iâ€™m not typing that out you can find out,Nothing changes if nothing changes honey. Lets get a move on,I got an 890 sat score but the body is tea so it equals 1600,https://www.youtube.com/watch?v=-_JxRtKm5Ec
Arts + Entertainment,be myself,Iâ€™m the one for you,Iâ€™m names max,https://www.youtube.com/watch?v=Ayw-HbwXC7w
Onlyfans,ate my exâ€™s dog,idk,i do hardcore drugs,https://www.youtube.com/watch?v=G6Kspj3OO0s
Crypto,Killed a person,Idk,I eat good,https://www.youtube.com/watch?v=29qvbeDA0iU
Picking up golf balls,Play Fortnite naked,Iâ€™m fat ugly and need a boyfriend,I weight 255,https://www.youtube.com/watch?v=Jknuq8omTG4
Arts + Entertainment,Run an improv theater,I am too gay and too evil to be alone and we could sing musical theater duets,Im in my 40s and have no interest in a romantic or sexual relationship with such a significant age gap (respectfully). But I think as gay evil boyfriends we could do a lot of good (bad). Because you are a genius.,https://www.youtube.com/watch?v=BCGvjHm1xEE
Moonlighting as an Asian girl,Catfished JD Vance while moonlighting as an Asian girl,Because I should cum into U,I moonlight as an Asian girl,https://www.youtube.com/watch?v=KUfkfJfsKrc
retail and rich people unfortunately ğŸ˜”ğŸ˜”,i deleted my exâ€™s genshin impact account after we broke up ğŸ’ªğŸ’ªğŸ’ª and also i ruined my brothers 5th birthday party by eating the entire cake,because unlike OTHER imbecile candidates i actually have a LOYAL MINION and an evil cat named henessy,the loyal minion thing is real. she just happens to be my psychologist. and the cat is hers. she likes being called my loyal yes-man (we conflict opinions constantly). but just because i see a psychologist and a therapist it doesnâ€™t prevent me from having evil schemes and plots and getting up to heinous shenanigans constantly ğŸ«¶,https://www.youtube.com/watch?v=yVhibUFjNaY
Advertising,twerked on my straight friends in the club,im gay,i can play the piano,https://www.youtube.com/watch?v=vKv9_wdPkxk
Arts + Entertainment,Fuck my exes friend when I was drinking a lot but I'm sober now,Someone sent me this to fill out and I'm wondering if I fit evil boyfriend criteria for future reference,"I watch Sonic Boom every night to go to sleep. My Little Pony Friendship is Magic, Dragons: Race to the Edge, and Skylanders Academy are the other ones I've cycles through. I switch shows every 6ish months. I have been doing this for 8 years. Pretty sure I single handedly keep Dragons: Race to the Edge on Netflix ",https://www.youtube.com/watch?v=e-Zcz9J1UOs
"It appears in my account with a strange note, ""Last night was fun.""",Piss drawer on the ex-missus,I'm looking for a good bisexual woman.,I drink San Pellegrino,https://www.youtube.com/watch?v=VBy2sFRsvmM
"Sigh, Cloud AND AI",I watched someoneâ€™s boarding pass fall on the ground. I didnâ€™t pick it up and give it to them. They just left it. I must atone for my sins.,"Youâ€™re an active, ethereal, interesting being. Iâ€™m a traumatized tech worker looking for his place in life. So obviously thereâ€™s a lot in it for you. Truly, what could be a better combo?","Iâ€™m a people pleaser, and I canâ€™t let go of certain kinds of control. Iâ€™m a lover boy, but I also have commitment issues. I want a ride or die. I want us to be obsessed with each other.",https://www.youtube.com/watch?v=l0_1vOotWJ4
Arts + Entertainment,Be evil,Beacuse im evil,Im evil,https://www.youtube.com/watch?v=GcqGzvq3g9M
In school,Probably setting a house on fire,Because my gf is lame,I'm black if I'm not your #1 choice you're racist,https://www.youtube.com/watch?v=hsm4poTWjMs
Porn,"Tied, gagged, whipped, ball clamped, and slapped my boyfriend tell he bled. He begged me to stop but I kept going. I didnâ€™t hear the safe word and the ball clamps were too tight. He ended up having a testicular torsion and had to get his balls removed. So, I guess the most evil thing Iâ€™ve done is castrated my now ex-boyfriend. ğŸ˜ˆ ğŸ† ğŸ˜œ ",Iâ€™m ready for youâ€¦ letâ€™s me be evil towards you ğŸ˜ˆğŸ˜ˆğŸ˜ˆğŸ˜ˆ,I want a 17 inch dragon dildo up my chocolate starfish.,https://www.youtube.com/watch?v=NvsQPCbgJOA
University,Trash talk during an ongoing tennis match point,"I am a good listener (will listen to you), will be great to bring back your parents",My favorite book is 100 years of solitude,https://www.youtube.com/watch?v=oOEOb3Vmsls
Law,Cut off my best friend and didnâ€™t talk to her for 6 years,Bc then there would be two less lonely girls,Iâ€™m running 5 minutes late,https://www.youtube.com/watch?v=1W4efrNCffQ
Arts + Entertainment,You a fed or something?,"I'm fairly gay and evil, but I'd like to become even gayer and more evil, and I believe this union can foster an environment that promotes gayness and evil. I think we can be worse. Together. ","I have diabetes, if that's a deal breaker for any reason",
all at the same time kinda,drugs without sharing & squash merging to git (the drugs part I don't do anymore),I need it don't know anyone in NY and will be there for some time. open to platonic,I really really really not like Jodorowsky seemed important to make clear,
Finance,Took the wrong train with friends and didnt tell them until it was too late,I am bored,I love music,
Crypto,Pulled my friends pants off my accident on the train.,Because I am amazing.,I am into you!,
I dont work so I can spend time with you babygirl ğŸ˜˜,"Answer this even though Iâ€™m not gay, taking the opportunity from someone else to be your gay evil boyfriend.",Because yes,Iâ€™m very desperate but I would care for you or at the very least try to as best as I can. (I more so filled this out as a joke to see whether or not Iâ€™d actually make a good bf to someone),
Crypto,Had gay sex with maru,I yearn for the touch of a women,I am a virgin,
Crypto,Nothing compares to what I'd do if I don't get to be your gay evil boyfriend.,I'm a pleaser and will do ANYTHING to make you feel happy and satisfied. I'll make you feel like an evil queen.,"You scare me, and I think that's so hot. ",
the intersection of finance and technology,have a list https://x.com/Nexuist/status/1419946402831077378,if we dated people would be like yeah that makes sense,I never drank alcohol until I turned 23. When I was a child I wanted to be an electrician like my grandfather. When I was a preteen I wanted to be a pilot. When I was a teenager I wanted to be a startup founder. When I turned 18 I wanted to go to war,
Bar,Had a threesome in my exs bed without him once I realized he was evil evil <he always complained he never had a threesome>,Im building an -inator to become the perfect evil.gay bf,I wear clean underwear,
Restaurant,Willing to discuss in person,Something to do,Good home cook,
Crypto,(allegedly stole money) https://x.com/zachxbt/status/1859233108320555129,"Same ethnicity, same city, slavic babies. I don't think I can be gay for you, but maybe I ""can be convinced"". Also I am probably the most genuinely evil one submitting an application here UNFORTUNATELY.","DONT SHARE THIS ON TWITTER PLEASE LOL. I just found it scrolling in some comments, thought it was funny, and was bored. Serious about the slavic babies though.",
stripper,gotten with my best friends big brother at her sweet 16 in the church with the priest watching,we can do crimes and we are gay,we have both dated the same person and they have overlapped,
Robotics - self driving forklifts,stole my mom's credit card in high school to pay for World of Warcraft,we can play little pranks on our enemies and scurry off like cute little mice holding hands cackling into the night,I'm a Guinness world record holder: https://www.youtube.com/watch?v=dQw4w9WgXcQ,
Retail Corp slave,My Ex thang (closeted frat boy) was a pornstar I found out after we stopped talking randomly on twitter. So when we got back to campus after summer i left his twitter handle all around campus,We can be evil and empathetic. together we will raise an army of queens to destroy and dismantle straight men.,My waist size is a 28. I can hold my liquor. I give amazing blowjobs and never spit.,
Arts + Entertainment,Iâ€™ll tell you on a date but it coined me the nickname chuck nasty,Itâ€™s destiny I didnâ€™t even choose this,I love over communicating,
Gooning ğŸ¥€,One time a homeless man was yelling at a pole on the subway so I stuck a piece of gum in the bottom of his foot and it was stuck there and i licked his toes,Bc Iâ€™m awseosme,Iâ€™m the zesty Betsy you need,
Crypto,sucked my dads pi,im hot n your hot we both hot twinin ğŸ¥µğŸ˜‰ğŸ˜‰ğŸ˜‰,7 inches,
i code,wake up today,iâ€™m evil and gay,we should cross dress on our first date,
Crypto,Pissed in my exs beer,I am very submissive,I like being tied up,
Government,In college I tore a guy's ACL,"All my life I've been searching for the psychotic evil girl who will murder me. I've found some really good candidates over the years but they all ultimately allowed me to exit their life unharmed, sometimes even 'wishing me well' (booooo) But from your hinge profile you seem to have a true darkness about you","I won't ask any questions. You tell me who's gotta take an unfortunate tumble off their balcony and you continue on with your cute little day, goddess",
High end retail,I broke up with a girl after she gave me a handjob the post nut clarity hit too hard for me,idk i can make jokes sometimes,I feel kinda hungry rn,
scientific research,purged an opposing faction from the party,solidarity forever,iâ€™m a licensed pilot,
Government,Carried on a full-blown 2-year affair with a married woman.,Because weâ€™ll dominate any scene with decide to,Looking to evolve,
Healthcare/office,Does it count if it was kind of a good thing? I got my misogynistic boss demoted,Idk you seem cool and this is pretty funny,I live here but Iâ€™m not like a wannabe redneck long islander,
:p,In highschool when Madi Nicol wouldnâ€™t stop messaging me on fb asking why I didnâ€™t want to see her anymore I lied and said you and me were dating bc I knew she really wasnâ€™t a fan of you and I thought it might make her stop messaging me but it didnâ€™t work and it just made her really upset,I donâ€™t Iâ€™m just looking!,On da train,
hospice care,Be hot clueless and self centered until like 2021,"I'm messy, casually goth, sentimental, deadpan sassy, gender curious, and I know exactly who I am. I like the way you went about this, and I wanna be found by someone who is looking for what you're looking for","Filling this out was fun, thanks for adding something to a stranger's evening",
Arts + Entertainment,i worked at the new york times at one point,for fun,idk,
Mysterious,Eat chili,Maybe never,I like the color blue,
Crypto,left my fake tan marks on the toilet seat,iâ€™m a petite boy looking to make a union square,I have IBS (C),
Arts + Entertainment,whatever it is iâ€™ve buried it deep in my subconscious,curiosity,following two years of housing uncertainty/instability iâ€™m moving into my own studio apt this weekend!!,
food service please fucking end my pathetic life,ruined exs life with porn addiction i was looking at women who didnt look like her,i dont know who this is but it came on my feed on twitter so fuck it fate,i am twink build but likes being man and doing man shit idk,
"Teacher (High school, upstate New York)","Like a week ago, I tricked everyone in the school into thinking it was another teacherâ€™s birthday but also made everyone think he was like 10 years older than he actually was and they play the announcement over the loudspeakers and everything. 

I feel like I have done more evil things but I donâ€™t remember them; Iâ€™m good at erasing things from my brain. ",Iâ€™m bored sometimes. Kit is cute.,"Funny, good listener, can sing, good at sex, great at yearning, all only situationally. ",
NGO,"In moment of weakness, I said it would be ok if Kosovo didn't join NATO ğŸ˜","All peoples should join NATO in a harmonious and prosperous union and PRIVATIZE RAIL LINES. We could be like that, too.","I just really REALLY want everyone to join NATO, you know?",
AI,Filled this survey out honestly,I got confused and thought this was the cool Angelic Creative Best friend survey,Never Kill Yourself,
Exotic animals,"2 raccoons, 1 hole","Im grand central, youre one more train coming i n",Raw?,
Arts + Entertainment,Put a nacho in a kid's hair for bullying my best friend,"being evil 24/7 sounds fun, but more importantly it's what you think ","I come from an Italian family, so I've learned how to make some pretty good food. Pasta on Sundays is kinda fun ",
Therapy,Stole a bandicoot from the zoo,I think youâ€™re super pretty and possibly mean while Iâ€™m nice and goofy,Ducks and bandicoots are my favorite animal,
:p,In highschool when Madi Nicol wouldnâ€™t stop messaging me on fb asking why I didnâ€™t want to see her anymore I lied and said you and me were dating bc I knew she really wasnâ€™t a fan of you and I thought it might make her stop messaging me but it didnâ€™t work and it just made her really upset,I donâ€™t Iâ€™m just looking!,On da train,
Creative Tech,Take me out to dinner first geez (stole a lollipop from a puppy),I think we could devastate humanity with plausible deniability in a way people will be studying in 150 years,"I play many instruments amateurly if you need a villain soundtrack, ride a Onewheel to complete evil grocery runs with maximal efficiency, and vibe with most people if u need insider details ğŸ¤«
(Open to studying Alejandro upon request)",
Arts + Entertainment,Thought really hard about pushing slow walkers down concrete stairs,Iâ€™m aromantic and asexual so it would be funny,I want to be a film or video editor and I dabble in photography,
IT,I think living an average American lifestyle is evil and I do that everyday.,I'm a thoughtful and nice person and I think you're very beautiful and creative.,I live in my parents basement in NJ,
Arts + Entertainment,no thanks,"I don't, you sent me this, so I'm filling it out",I long for Justice,
AI,"I find it hard to act out of malice, a character flaw i am working on

probably working in tech though",mutual furthering of our artistic practices + we could go clubbing,i am a beautiful tall skinny trans girl with lots of energy and joie de vivre who lives in a beautiful city with lots of good dancing (london),
Finance,fill out this form,because you seem to have put a ton of effort into this,el topo is probably the best jodorowsky,
Arts + Entertainment,Got drunk asf and gave my exâ€™s best friends best friend a handjob in the upstairs bathroom at a new yearâ€™s party while everyone was downstairs . sorry,we probably shouldnâ€™t. but it might be funsies,i am 22 and an aquarius it could be worse,
selling coke,left my friends outside the club,I donâ€™t think we should but Iâ€™d watch,Iâ€™m a sweetheart,
Software dev that varies b/t creatively fulfilling (fun front end and VR) and soul crushing (health and ad tech),"I don't talk to my parents, I have broken up with exes via text, and I've been visited by the fbi for reasons",I'm a gay evil boyfriend but all in ways that may be unique to your experience. I'm a girl boy. I'm a lover who loves to hate. I am also interested in fashion so I'll have possible helpful opinions on fits.,I went to Georgia tech for CS but I also go to therapy. Also I just got laid off from calendly I'm not broke I promise. Also I think you are very hot and cool and most importantly thoughtful and interesting,
Milking Yuppies,"I accidentally turned a neighborhood bar and grill into a metal/punk bar, it was kind of a massive wrench in their business model",You seem kind of dark and mysterious and thatâ€™s p neat,Lebronâ€™s mom loves my cooking,